                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93609,                0.83954,                 1.2447,                0.69272,                0.67375,                0.70045,                0.46562,                 1.2275,                 1.1234,                 1.6033,              0.0013268,              0.0013268,              0.0013268
                     36,                0.88696,                0.84826,                 1.1964,                0.85419,                0.60605,                0.70908,                0.44706,                 1.2838,                 1.2885,                 1.6727,               0.001307,               0.001307,               0.001307
                     37,                0.91019,                0.82835,                 1.2213,                0.63884,                0.66667,                0.69334,                  0.442,                 1.3795,                 1.2769,                 1.7214,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.8726,                 0.7798,                 1.1696,                0.63771,                0.50581,                0.59157,                0.37382,                 1.3485,                 1.3901,                 1.6373,              0.0012674,              0.0012674,              0.0012674
                     39,                0.85239,                0.75674,                 1.1702,                0.76938,                0.62069,                  0.711,                0.45728,                 1.2838,                 1.1519,                 1.6144,              0.0012476,              0.0012476,              0.0012476
                     40,                0.85503,                0.78106,                 1.1778,                0.72826,                0.63218,                 0.6923,                0.45913,                 1.3386,                 1.2158,                  1.708,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.8179,                0.75607,                 1.1408,                0.69645,                0.70115,                0.72383,                0.43344,                 1.3642,                 1.2119,                 1.7648,               0.001208,               0.001208,               0.001208
                     42,                0.86145,                0.78507,                 1.2071,                0.79058,                0.65517,                 0.7091,                0.44139,                 1.3821,                 1.2608,                 1.7172,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.7934,                 0.7216,                 1.1284,                0.73538,                0.58621,                0.65477,                0.43646,                 1.2524,                 1.2348,                 1.6009,              0.0011684,              0.0011684,              0.0011684
                     44,                0.77865,                0.70633,                 1.1285,                 0.6559,                0.66667,                0.65954,                0.43999,                 1.2798,                 1.1558,                 1.6372,              0.0011486,              0.0011486,              0.0011486
                     45,                0.82044,                0.72292,                 1.1522,                0.85745,                0.64368,                0.72939,                0.48623,                  1.328,                 1.0148,                 1.7455,              0.0011288,              0.0011288,              0.0011288
                     46,                0.80318,                0.69363,                  1.147,                0.79119,                0.60975,                0.68767,                0.44464,                 1.3978,                  1.149,                 1.8669,               0.001109,               0.001109,               0.001109
                     47,                0.80141,                0.70717,                 1.1628,                0.93321,                0.56322,                0.69439,                0.45013,                 1.3709,                 1.3128,                 1.8065,              0.0010892,              0.0010892,              0.0010892
                     48,                0.84845,                0.76283,                 1.1823,                0.73326,                0.70115,                0.71993,                0.47092,                 1.3958,                 1.3748,                 1.7244,              0.0010694,              0.0010694,              0.0010694
                     49,                0.81901,                0.75446,                 1.1791,                0.70785,                0.70115,                0.67952,                0.41693,                 1.4077,                 1.5905,                 1.7788,              0.0010496,              0.0010496,              0.0010496
                     50,                0.80034,                0.72434,                 1.1387,                0.66656,                0.70115,                0.67122,                0.43415,                 1.3616,                 1.2561,                 1.7181,              0.0010298,              0.0010298,              0.0010298
                     51,                0.74761,                0.64407,                  1.121,                0.72296,                0.62992,                0.64715,                0.40113,                 1.3815,                 1.4156,                 1.7783,                0.00101,                0.00101,                0.00101
                     52,                0.75874,                0.67414,                 1.1245,                0.74051,                0.66667,                0.66618,                0.43745,                 1.3223,                 1.3961,                 1.7503,              0.0009902,              0.0009902,              0.0009902
                     53,                  0.834,                0.75575,                 1.1821,                0.75602,                0.63218,                0.69411,                0.45279,                 1.3272,                 1.2713,                 1.7373,              0.0009704,              0.0009704,              0.0009704
                     54,                0.78916,                0.69931,                 1.1705,                0.79287,                0.64368,                 0.7041,                0.46154,                 1.3134,                 1.5111,                  1.705,              0.0009506,              0.0009506,              0.0009506
                     55,                0.78178,                0.69612,                 1.1358,                0.80358,                 0.5977,                0.62761,                0.42479,                 1.3804,                 1.5529,                 1.7884,              0.0009308,              0.0009308,              0.0009308
                     56,                0.74638,                0.64432,                 1.1048,                 0.8086,                0.58275,                0.66482,                0.43777,                 1.4538,                 1.3538,                 1.8905,               0.000911,               0.000911,               0.000911
                     57,                0.76306,                0.65669,                 1.1306,                0.73969,                0.63218,                0.68472,                0.46163,                 1.2931,                 1.4148,                 1.6526,              0.0008912,              0.0008912,              0.0008912
                     58,                0.73415,                0.63438,                 1.1291,                0.78815,                 0.5987,                0.66853,                0.40095,                 1.5199,                 1.5495,                 1.9088,              0.0008714,              0.0008714,              0.0008714
                     59,                0.75961,                0.66216,                 1.1265,                0.81957,                 0.5977,                0.67406,                0.43289,                 1.3563,                 1.4276,                 1.7731,              0.0008516,              0.0008516,              0.0008516
                     60,                0.74122,                0.63642,                 1.0902,                0.76865,                0.54023,                0.65453,                0.39914,                 1.3628,                 1.6062,                 1.7789,              0.0008318,              0.0008318,              0.0008318
                     61,                0.73124,                 0.6111,                 1.1128,                0.78782,                0.68288,                0.72533,                0.50408,                 1.2909,                 1.1783,                 1.7204,               0.000812,               0.000812,               0.000812
                     62,                0.66062,                0.57304,                  1.092,                0.74277,                0.69703,                0.69919,                 0.4913,                 1.2681,                 1.1581,                 1.6738,              0.0007922,              0.0007922,              0.0007922
                     63,                0.69869,                0.59776,                 1.0992,                0.75943,                0.66667,                0.69667,                0.49203,                 1.2423,                 1.2109,                 1.6977,              0.0007724,              0.0007724,              0.0007724
                     64,                0.69349,                0.58428,                 1.0967,                0.73371,                0.66667,                0.70545,                0.50614,                  1.281,                 1.1512,                 1.6481,              0.0007526,              0.0007526,              0.0007526
                     65,                0.69263,                0.60178,                 1.0824,                0.75187,                 0.6092,                0.66409,                0.47962,                 1.2516,                 1.2064,                 1.6439,              0.0007328,              0.0007328,              0.0007328
                     66,                0.69064,                0.60086,                 1.0929,                0.69548,                0.62069,                 0.6587,                0.45485,                 1.4233,                 1.3212,                 1.8349,               0.000713,               0.000713,               0.000713
                     67,                0.70312,                0.60214,                 1.0871,                0.70028,                0.64368,                0.69023,                0.46197,                 1.4801,                 1.1553,                 1.8826,              0.0006932,              0.0006932,              0.0006932
                     68,                0.69577,                0.57149,                 1.0964,                0.77144,                0.68966,                0.71523,                 0.4629,                 1.4184,                 1.1617,                 1.8662,              0.0006734,              0.0006734,              0.0006734
                     69,                0.63223,                0.53205,                 1.0586,                0.76012,                0.61919,                0.66434,                0.41263,                 1.4963,                 1.4383,                 2.0167,              0.0006536,              0.0006536,              0.0006536
                     70,                0.64538,                0.54307,                 1.0498,                0.67414,                0.59451,                0.62246,                0.36478,                 1.4813,                 1.6538,                 1.9985,              0.0006338,              0.0006338,              0.0006338
                     71,                0.64541,                 0.5546,                 1.0532,                0.80777,                0.63218,                0.68303,                0.45995,                 1.3992,                 1.3287,                 1.8462,               0.000614,               0.000614,               0.000614
                     72,                 0.6393,                 0.5071,                 1.0656,                 0.7704,                0.71264,                0.71465,                0.47506,                 1.3998,                 1.1386,                 1.8152,              0.0005942,              0.0005942,              0.0005942
                     73,                0.63291,                0.54557,                 1.0486,                0.90301,                0.64209,                0.74025,                0.51208,                 1.3157,                 1.0146,                 1.6998,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.6576,                 0.5456,                 1.0717,                0.79997,                0.68953,                0.76368,                0.52056,                 1.2932,                  1.062,                 1.6547,              0.0005546,              0.0005546,              0.0005546
